ID,Nama,Jenis Kelamin,Usia,Nilai Matematika,Nilai IPA,Nilai IPS,Nilai Bahasa Indonesia,Nilai Bahasa Inggris,Nilai TIK,Minat Sains,Minat Bahasa,Minat Sosial,Minat Teknologi,Potensi
1,Joko Putri,L,13,63,60,93,94,67,69,4,1,5,4,Bahasa
2,Dewi Nur,P,15,81,96,81,93,71,90,2,5,4,5,Sains
3,Fajar Nur,P,13,75,98,69,85,71,99,5,2,2,1,Sains
4,Dewi Utami,L,14,84,94,61,99,68,65,1,4,2,3,Sains
5,Andi Kusuma,L,14,62,66,74,91,75,76,4,3,3,2,Bahasa
6,Dewi Wijaya,P,12,80,97,70,79,86,71,3,4,3,3,Sains
7,Eka Putri,P,14,86,84,84,77,77,97,3,4,3,3,Sains
8,Dewi Wijaya,L,13,81,68,85,60,76,75,1,1,5,4,Sains
9,Hana Wijaya,P,12,90,82,68,80,100,79,2,2,4,5,Bahasa
10,Budi Rahma,L,14,71,72,100,72,72,92,5,3,1,4,Sains
11,Andi Saputra,L,12,61,87,93,96,72,77,5,4,2,5,Bahasa
12,Indra Kusuma,L,13,61,96,66,70,64,67,1,4,4,1,Sains
13,Fajar Putri,P,12,81,81,60,77,75,80,1,3,2,1,Sains
14,Joko Rahma,L,13,62,82,92,72,77,89,4,2,4,4,Bahasa
15,Gita Nur,P,12,86,68,71,96,97,88,2,3,5,5,Bahasa
16,Gita Putri,P,12,87,78,63,93,63,100,1,3,5,1,Sains
17,Dewi Pratama,L,14,96,64,97,93,81,82,3,2,1,5,Bahasa
18,Dewi Putri,L,14,77,74,63,76,100,80,3,2,5,4,Bahasa
19,Indra Utami,P,15,60,95,60,83,61,93,3,3,1,4,Sains
20,Joko Putri,L,13,77,95,90,86,76,78,5,3,3,1,Sains
21,Andi Santoso,L,13,99,72,86,79,70,82,4,3,3,4,Sains
22,Andi Utami,L,13,83,77,99,97,65,62,3,4,2,2,Bahasa
23,Indra Saputra,P,12,73,92,84,90,76,76,5,4,2,4,Sains
24,Fajar Nur,P,12,89,99,88,81,79,69,5,1,5,1,Sains
25,Fajar Wijaya,L,12,75,91,98,90,94,87,2,2,3,2,Bahasa
26,Dewi Rahma,L,12,83,85,91,72,72,73,3,3,3,2,Sains
27,Fajar Rahma,L,14,60,69,61,97,97,98,4,3,5,4,Bahasa
28,Budi Kusuma,P,14,83,60,93,98,74,73,2,4,3,4,Bahasa
29,Budi Utami,P,15,61,61,99,68,91,97,4,1,2,2,Bahasa
30,Dewi Saputra,L,14,85,65,77,94,94,98,4,3,3,1,Bahasa
31,Andi Nur,L,12,93,71,93,74,95,82,2,3,3,1,Bahasa
32,Joko Saputra,L,14,67,86,88,64,94,60,2,1,5,3,Bahasa
33,Joko Pratama,P,13,90,89,73,64,84,92,1,2,1,3,Sains
34,Eka Kusuma,L,13,94,74,81,78,83,97,1,5,5,3,Sains
35,Budi Utami,L,12,72,72,63,61,78,100,3,2,2,1,Sains
36,Citra Saputra,P,12,65,92,72,70,94,89,3,3,2,5,Bahasa
37,Dewi Wijaya,P,12,79,61,76,89,70,77,3,4,5,2,Bahasa
38,Andi Wahyudi,P,13,100,68,69,81,87,87,2,1,2,1,Sains
39,Joko Kusuma,P,13,63,91,95,98,74,64,5,4,5,5,Bahasa
40,Citra Utami,L,13,79,68,97,65,60,63,2,2,4,5,Sains
41,Andi Nur,L,15,65,77,71,94,71,69,1,5,2,5,Bahasa
42,Joko Rahma,P,14,84,62,99,74,76,86,5,4,1,5,Bahasa
43,Citra Rahma,P,13,91,98,92,83,95,84,2,4,1,2,Sains
44,Budi Santoso,P,13,68,71,83,61,80,99,2,1,5,2,Bahasa
45,Eka Nur,P,15,91,91,88,94,86,88,2,4,2,1,Sains
46,Joko Nur,P,12,90,67,87,91,76,90,5,5,3,5,Bahasa
47,Dewi Nur,L,12,62,68,99,99,64,81,5,3,5,1,Bahasa
48,Eka Pratama,L,15,91,72,77,82,89,72,4,1,3,3,Bahasa
49,Hana Pratama,P,15,70,98,79,94,96,76,4,4,1,1,Bahasa
50,Eka Saputra,P,13,65,93,62,76,90,99,5,1,3,3,Bahasa
51,Eka Utami,L,13,100,94,90,94,79,71,2,3,2,5,Sains
52,Hana Kusuma,L,13,72,74,75,69,86,89,2,5,4,3,Bahasa
53,Joko Nur,P,14,78,71,90,79,89,86,5,5,1,2,Bahasa
54,Dewi Santoso,L,15,99,61,61,90,83,97,3,4,5,2,Bahasa
55,Dewi Pratama,L,13,60,67,83,97,98,91,2,5,3,2,Bahasa
56,Hana Santoso,P,14,93,66,81,72,83,82,5,2,4,2,Sains
57,Hana Nur,P,15,95,94,66,71,77,63,2,5,3,3,Sains
58,Gita Kusuma,P,14,86,69,70,98,68,93,2,2,1,4,Bahasa
59,Joko Santoso,L,14,81,97,76,68,70,91,4,2,2,2,Sains
60,Citra Pratama,L,14,79,67,72,96,66,85,3,5,2,4,Bahasa
61,Fajar Wahyudi,L,14,89,75,93,65,76,80,4,5,5,4,Sains
62,Joko Rahma,P,12,74,67,82,83,85,79,1,3,1,1,Bahasa
63,Indra Wahyudi,L,14,66,67,88,63,84,82,1,5,5,4,Bahasa
64,Joko Kusuma,L,12,89,83,92,85,74,75,1,5,2,1,Sains
65,Joko Santoso,P,15,75,64,70,100,96,76,2,1,2,2,Bahasa
66,Fajar Saputra,L,13,72,88,68,99,81,78,3,3,2,2,Bahasa
67,Gita Utami,P,12,71,89,78,61,77,60,4,5,2,5,Sains
68,Hana Putri,P,14,85,72,80,66,97,62,3,2,3,1,Bahasa
69,Fajar Wijaya,P,13,77,96,78,91,93,88,2,1,2,1,Bahasa
70,Joko Putri,L,12,78,73,91,76,92,87,4,2,2,3,Bahasa
71,Gita Rahma,L,12,98,97,75,64,78,83,4,5,3,4,Sains
72,Budi Wijaya,L,15,89,87,73,63,91,76,2,5,2,2,Sains
73,Joko Putri,L,13,88,100,74,62,87,62,1,5,2,1,Sains
74,Eka Kusuma,P,13,92,68,85,76,61,98,1,3,3,2,Sains
75,Joko Putri,P,14,70,66,67,83,94,79,4,1,3,4,Bahasa
76,Joko Rahma,L,13,71,81,69,60,73,75,2,4,2,5,Sains
77,Gita Putri,P,13,90,72,62,80,84,93,5,2,3,4,Sains
78,Gita Kusuma,L,13,60,76,77,97,93,92,1,4,1,3,Bahasa
79,Budi Utami,P,15,68,78,66,94,62,62,3,4,3,5,Bahasa
80,Indra Wijaya,P,12,65,94,73,73,87,75,4,2,5,1,Sains
81,Dewi Putri,L,15,66,99,87,85,68,63,4,2,3,2,Sains
82,Hana Santoso,L,15,68,63,79,64,83,79,3,3,3,5,Bahasa
83,Hana Wahyudi,L,15,81,70,85,77,91,95,5,1,1,1,Bahasa
84,Fajar Nur,P,13,83,67,88,69,83,81,2,5,5,2,Bahasa
85,Indra Saputra,L,14,68,67,78,61,73,88,4,5,1,5,Sains
86,Budi Pratama,L,15,69,94,70,85,76,88,4,2,5,2,Sains
87,Joko Utami,L,15,88,93,79,64,92,100,1,4,2,4,Sains
88,Hana Santoso,L,13,95,87,67,92,62,87,4,2,2,5,Sains
89,Citra Wahyudi,P,15,95,94,71,74,96,64,3,5,1,1,Sains
90,Joko Utami,P,13,85,61,82,82,69,78,1,3,3,2,Bahasa
91,Hana Wahyudi,P,15,65,87,97,79,78,66,3,3,3,2,Bahasa
92,Citra Putri,L,12,74,79,97,84,74,76,1,2,5,5,Bahasa
93,Fajar Kusuma,P,12,99,63,83,76,73,66,4,3,1,3,Sains
94,Dewi Kusuma,P,12,99,90,94,71,70,82,5,4,4,1,Sains
95,Joko Rahma,P,15,96,63,67,76,60,88,2,4,5,3,Sains
96,Fajar Kusuma,L,13,76,90,98,60,64,67,5,4,3,3,Sains
97,Hana Saputra,L,15,71,76,82,72,84,80,1,4,5,1,Bahasa
98,Budi Utami,L,12,77,88,66,80,68,67,1,5,4,1,Sains
99,Joko Wijaya,P,14,92,90,60,60,70,76,4,4,5,1,Sains
100,Joko Wijaya,P,15,83,75,88,86,70,71,5,1,3,2,Sains
101,Dewi Utami,L,13,83,72,99,60,81,89,1,1,3,2,Sains
102,Budi Nur,L,14,62,66,62,65,75,98,3,5,3,5,Bahasa
103,Citra Utami,L,13,60,76,95,96,77,86,1,4,4,5,Bahasa
104,Andi Wahyudi,L,14,80,64,65,96,76,63,4,3,3,1,Bahasa
105,Budi Utami,L,15,86,73,64,85,73,75,3,1,1,5,Sains
106,Andi Nur,L,12,78,72,99,85,75,96,4,5,1,3,Bahasa
107,Andi Pratama,L,12,75,82,83,84,78,87,1,5,4,2,Bahasa
108,Citra Putri,P,13,72,71,68,92,93,93,2,5,3,4,Bahasa
109,Gita Kusuma,L,12,86,75,94,76,79,98,4,3,4,5,Sains
110,Andi Wijaya,L,15,98,74,64,78,70,74,1,5,2,3,Sains
111,Gita Utami,L,12,71,98,60,66,93,83,1,1,3,5,Sains
112,Fajar Saputra,L,12,71,78,67,61,63,82,2,4,1,3,Sains
113,Gita Rahma,P,12,65,70,99,80,100,61,3,2,5,1,Bahasa
114,Eka Pratama,L,13,78,99,69,73,79,90,4,4,5,2,Sains
115,Andi Santoso,P,12,94,78,64,87,62,76,3,3,4,1,Sains
116,Citra Rahma,L,12,90,89,95,68,73,93,2,5,4,1,Sains
117,Joko Putri,P,13,60,67,98,72,74,65,3,3,4,5,Bahasa
118,Eka Rahma,P,12,72,70,84,68,98,72,5,3,5,1,Bahasa
119,Andi Saputra,P,15,77,85,61,99,85,71,1,5,3,4,Bahasa
120,Fajar Saputra,L,14,98,60,88,62,91,93,4,1,4,2,Sains
121,Eka Santoso,L,14,74,92,95,60,75,89,1,2,4,2,Sains
122,Andi Pratama,L,12,83,97,76,67,92,77,3,4,4,4,Sains
123,Joko Kusuma,P,14,82,62,91,74,70,86,1,3,5,4,Bahasa
124,Indra Pratama,L,13,65,78,98,69,97,95,4,3,4,1,Bahasa
125,Andi Rahma,P,12,82,63,98,100,88,97,5,3,4,1,Bahasa
126,Hana Nur,P,15,90,99,68,65,68,92,1,2,1,2,Sains
127,Budi Nur,L,15,79,91,68,61,77,74,5,5,1,4,Sains
128,Indra Kusuma,L,15,74,74,93,83,84,61,3,3,3,3,Bahasa
129,Hana Rahma,L,14,70,86,80,61,71,61,2,3,2,2,Sains
130,Gita Putri,P,12,76,94,66,88,88,88,5,1,1,2,Bahasa
131,Andi Nur,P,15,86,83,98,74,68,63,1,5,4,3,Sains
132,Fajar Utami,L,12,82,84,81,67,86,94,1,5,1,3,Sains
133,Budi Saputra,P,12,73,65,76,99,87,82,2,2,3,5,Bahasa
134,Gita Santoso,L,14,72,96,93,96,94,84,4,4,1,5,Bahasa
135,Hana Wahyudi,P,15,76,79,67,94,95,90,2,1,5,1,Bahasa
136,Dewi Saputra,P,12,97,65,81,76,86,81,2,3,1,3,Bahasa
137,Fajar Pratama,P,12,93,90,99,79,90,80,4,2,5,2,Sains
138,Joko Putri,P,12,72,95,100,74,93,86,3,3,2,5,Sains
139,Indra Rahma,P,15,72,68,85,78,63,79,1,1,5,4,Bahasa
140,Budi Pratama,P,12,97,78,73,67,69,82,4,1,2,3,Sains
141,Fajar Santoso,L,14,100,63,65,76,96,69,4,5,5,3,Bahasa
142,Hana Santoso,L,13,87,94,88,75,89,65,5,3,3,3,Sains
143,Budi Pratama,L,12,66,70,66,83,72,91,2,1,4,3,Bahasa
144,Citra Pratama,P,15,60,92,60,95,61,88,5,4,5,3,Bahasa
145,Fajar Utami,P,12,66,85,74,96,76,64,3,2,3,3,Bahasa
146,Gita Wijaya,P,14,66,78,76,69,66,65,2,5,4,2,Sains
147,Dewi Nur,P,12,63,79,93,60,90,98,5,3,1,2,Bahasa
148,Fajar Rahma,P,12,97,64,90,75,96,74,2,1,4,4,Bahasa
149,Budi Saputra,L,15,91,99,60,84,76,61,3,3,4,4,Sains
150,Hana Kusuma,P,12,84,86,77,68,78,85,1,1,1,4,Sains
151,Eka Pratama,P,13,75,71,88,72,82,87,4,2,3,3,Bahasa
152,Gita Wahyudi,P,13,66,63,73,80,100,93,3,2,2,1,Bahasa
153,Indra Saputra,P,15,64,79,90,74,76,64,2,4,5,2,Bahasa
154,Joko Kusuma,P,12,73,78,89,79,69,91,4,4,2,4,Sains
155,Fajar Utami,L,13,72,98,66,71,100,85,2,3,4,5,Bahasa
156,Dewi Kusuma,P,13,64,97,69,77,73,92,5,3,3,5,Sains
157,Hana Wijaya,L,14,92,97,72,99,71,82,4,2,4,4,Sains
158,Gita Rahma,P,15,88,61,79,75,61,69,1,3,4,4,Sains
159,Dewi Saputra,L,15,68,67,75,61,88,67,3,1,3,2,Bahasa
160,Hana Wijaya,L,14,72,85,82,66,63,91,4,1,4,2,Sains
161,Indra Kusuma,P,13,82,86,89,63,93,78,5,5,4,5,Sains
162,Eka Putri,P,14,61,61,72,66,87,95,5,5,4,2,Bahasa
163,Budi Santoso,L,12,81,66,82,88,82,78,5,3,1,4,Bahasa
164,Eka Pratama,P,15,80,74,62,92,94,66,5,5,2,2,Bahasa
165,Indra Saputra,L,14,77,64,83,64,95,87,4,5,2,3,Bahasa
166,Fajar Nur,L,12,92,64,77,76,64,60,3,1,2,2,Sains
167,Eka Nur,L,13,68,61,95,68,76,74,5,4,1,5,Bahasa
168,Citra Pratama,L,14,89,89,80,98,62,97,3,5,5,2,Sains
169,Andi Kusuma,L,12,73,91,70,87,98,99,5,4,2,5,Bahasa
170,Gita Pratama,L,13,77,77,78,81,81,84,1,5,5,1,Bahasa
171,Citra Rahma,L,13,60,67,93,97,62,78,5,3,1,2,Bahasa
172,Dewi Wijaya,P,13,87,63,66,79,92,66,3,5,3,2,Bahasa
173,Eka Utami,L,15,73,89,90,88,97,90,3,5,3,1,Bahasa
174,Joko Nur,L,15,82,92,66,63,67,61,1,3,3,5,Sains
175,Eka Wijaya,L,12,71,85,63,89,91,65,4,4,1,5,Bahasa
176,Joko Rahma,L,15,94,77,78,92,100,72,4,2,4,2,Bahasa
177,Hana Saputra,L,14,81,65,87,91,99,62,4,4,5,5,Bahasa
178,Budi Utami,P,12,99,95,60,100,77,67,4,2,5,4,Sains
179,Dewi Pratama,P,12,84,86,89,72,63,77,4,2,1,3,Sains
180,Andi Kusuma,P,15,81,80,67,94,80,60,5,4,4,4,Bahasa
181,Hana Rahma,L,15,89,85,65,67,87,80,5,2,1,5,Sains
182,Dewi Saputra,P,13,72,99,92,98,83,88,2,1,5,2,Bahasa
183,Hana Wijaya,L,15,94,93,70,75,66,66,4,1,5,3,Sains
184,Gita Santoso,L,13,88,82,75,99,82,92,1,2,2,1,Bahasa
185,Eka Saputra,P,14,96,71,89,97,65,92,5,5,3,5,Sains
186,Joko Saputra,L,12,72,96,94,76,68,91,2,1,5,1,Sains
187,Eka Saputra,L,14,93,79,89,86,89,64,5,3,1,2,Bahasa
188,Dewi Kusuma,L,14,95,72,85,65,87,61,2,3,3,2,Sains
189,Andi Rahma,L,12,96,65,75,83,87,77,5,1,3,2,Bahasa
190,Gita Pratama,L,12,63,85,88,75,66,100,1,1,4,1,Sains
191,Hana Wijaya,L,13,88,90,83,63,98,63,3,2,2,4,Sains
192,Citra Wahyudi,L,13,77,73,78,93,82,60,5,2,3,4,Bahasa
193,Andi Wijaya,P,14,92,75,91,94,89,97,5,1,3,1,Bahasa
194,Hana Wijaya,L,14,98,87,83,69,83,96,4,2,1,1,Sains
195,Citra Kusuma,L,15,80,88,68,86,95,98,4,5,3,5,Bahasa
196,Gita Kusuma,L,12,69,84,70,84,90,78,5,1,4,1,Bahasa
197,Dewi Wijaya,P,15,81,86,97,66,72,64,1,1,3,4,Sains
198,Budi Santoso,P,14,86,65,91,91,83,98,4,1,3,1,Bahasa
199,Citra Wijaya,L,13,64,99,63,93,76,64,4,1,2,3,Bahasa
200,Budi Pratama,L,15,75,84,81,67,71,83,2,3,3,3,Sains
201,Citra Utami,P,14,72,81,85,90,100,83,5,3,5,3,Bahasa
202,Eka Pratama,P,12,79,79,61,67,80,70,5,3,5,4,Sains
203,Dewi Kusuma,P,14,62,83,96,74,89,72,5,3,3,2,Bahasa
204,Citra Nur,L,14,65,95,74,96,63,77,3,1,1,1,Sains
205,Indra Kusuma,P,13,62,82,71,70,67,94,5,2,3,1,Sains
206,Joko Kusuma,P,12,60,75,87,61,82,61,1,4,4,1,Bahasa
207,Gita Saputra,P,12,61,94,60,87,91,77,3,2,2,5,Bahasa
208,Indra Santoso,P,12,95,65,68,93,78,80,3,5,2,5,Bahasa
209,Budi Nur,P,15,67,96,77,66,86,82,1,5,5,4,Sains
210,Dewi Rahma,L,15,66,64,71,74,92,95,1,2,2,3,Bahasa
211,Budi Nur,L,13,97,71,93,60,76,96,3,3,2,2,Sains
212,Indra Saputra,P,13,87,66,76,67,88,74,5,4,2,2,Bahasa
213,Citra Putri,L,12,63,61,78,60,69,100,2,3,3,1,Bahasa
214,Hana Santoso,L,15,74,99,84,86,84,82,3,4,5,1,Sains
215,Budi Santoso,P,13,60,64,98,91,67,80,3,1,2,3,Bahasa
216,Fajar Santoso,P,12,75,81,87,92,89,98,5,4,2,4,Bahasa
217,Budi Wijaya,P,15,100,73,77,64,80,97,5,3,3,3,Sains
218,Fajar Utami,P,15,67,98,97,94,66,74,2,4,1,2,Sains
219,Joko Nur,L,12,98,61,63,82,76,98,1,4,3,5,Bahasa
220,Hana Wijaya,P,13,68,67,86,70,65,82,2,3,5,2,Bahasa
221,Dewi Pratama,L,14,100,80,75,82,89,82,3,5,2,2,Sains
222,Andi Rahma,L,13,68,62,93,97,95,78,2,5,1,5,Bahasa
223,Indra Santoso,P,13,83,64,64,75,89,60,1,5,4,2,Bahasa
224,Hana Wahyudi,P,12,100,93,79,68,90,98,2,3,2,1,Sains
225,Fajar Wijaya,L,14,64,79,94,80,95,83,4,5,2,4,Bahasa
