ID,Nama,Jenis Kelamin,Usia,Nilai Matematika,Nilai IPA,Nilai IPS,Nilai Bahasa Indonesia,Nilai Bahasa Inggris,Nilai TIK,Minat Sains,Minat Bahasa,Minat Sosial,Minat Teknologi,Potensi
1,Budi Santoso,L,15,86.0,86.0,96.0,88.0,75.0,64.0,5.0,4.0,2.0,2.0,Sains
2,Andi Prasetyo,L,14,92.0,92.0,73.0,67.0,96.0,97.0,5.0,2.0,4.0,3.0,Sains
3,Siti Nurhaliza,P,12,91.0,85.0,76.0,70.0,66.0,64.0,5.0,5.0,1.0,2.0,Sains
4,Rudi Hartono,L,13,95.0,90.0,78.0,88.0,97.0,78.0,1.0,4.0,1.0,3.0,Bahasa
5,Maya Sari,P,12,63.0,74.0,80.0,98.0,89.0,94.0,1.0,4.0,4.0,1.0,Bahasa
6,Lisa Amelia,P,12,91.0,94.0,87.0,95.0,96.0,84.0,5.0,4.0,5.0,4.0,Bahasa
7,Joko Wibowo,L,12,63.0,80.0,90.0,82.0,91.0,95.0,1.0,4.0,5.0,4.0,Sosial
8,Dika Pramudita,L,13,97.0,71.0,87.0,86.0,87.0,75.0,4.0,2.0,5.0,1.0,Sosial
9,Rina Melati,P,15,100.0,74.0,98.0,96.0,91.0,94.0,2.0,3.0,4.0,2.0,Sosial
10,Tono Setiawan,P,14,94.0,90.0,68.0,65.0,70.0,99.0,4.0,5.0,4.0,5.0,Teknologi
11,Nia Citra,P,15,99.0,63.0,95.0,86.0,72.0,91.0,1.0,5.0,3.0,5.0,Teknologi
12,Fajar Nugroho,L,14,99.0,63.0,92.0,62.0,92.0,100.0,2.0,4.0,5.0,4.0,Teknologi
13,Khalid Ramadhan,L,12,87.5,87.0,66.0,67.0,94.0,73.0,1.5,4.0,3.0,1.0,Bahasa
14,Sari Indah,P,14,76.0,95.0,99.0,63.0,61.0,65.0,1.0,4.0,3.0,3.0,Teknologi
15,Arif Hidayat,L,14,63.0,88.0,77.0,85.0,93.0,69.0,5.0,3.0,3.0,3.0,Sosial
16,Putri Ayu,L,14,95.0,73.0,90.0,74.0,67.0,73.0,2.0,5.0,1.0,4.0,Bahasa
17,Rizky Aditya,L,13,82.0,99.0,80.0,75.0,77.0,83.0,1.0,5.0,4.0,5.0,Bahasa
18,Nina Melati,P,15,85.0,84.0,100.0,88.0,74.0,60.0,3.0,4.0,3.0,1.0,Sosial
19,Farhan Aji,L,15,84.0,66.0,68.0,83.0,60.0,67.0,1.0,4.0,4.0,5.0,Bahasa
20,Kevin Prabowo,L,15,83.0,70.0,76.0,67.0,94.0,94.0,3.0,3.0,4.0,1.0,Teknologi
21,Aditya Kurniawan,L,15,92.0,64.0,98.0,100.0,87.0,66.0,5.0,5.0,1.0,5.0,Sains
22,Aulia Rahmawati,P,14,68.0,67.0,71.0,93.0,92.0,82.0,3.0,4.0,1.0,4.0,Teknologi
23,Dani Prasetyo,L,13,83.0,63.5,94.0,99.0,81.0,86.0,5.0,5.0,1.0,3.0,Sains
24,Reza Saputra,L,13,94.0,60.0,94.0,96.0,73.0,62.0,2.0,1.0,2.0,2.0,Sains
25,Indra Setiawan,L,14,60.0,64.0,85.0,73.0,98.0,86.0,3.0,2.0,2.0,3.0,Teknologi
26,Rahmat Hidayat,L,13,68.0,74.0,74.0,85.0,72.0,91.0,2.0,2.0,2.0,1.0,Teknologi
27,Fina Wulandari,P,14,98.0,91.0,63.0,89.0,96.0,82.0,1.0,1.0,3.0,1.5,Teknologi
28,Niko Prabowo,L,15,98.0,74.0,88.0,95.0,72.0,91.0,2.0,2.0,3.0,2.0,Teknologi
29,Cindy Ayu,P,14,66.0,81.0,87.0,61.0,65.0,87.0,1.0,5.0,4.0,2.0,Sosial
30,Intan Permata,P,15,87.0,79.0,89.0,70.0,87.0,84.0,1.0,4.0,5.0,4.0,Bahasa
31,Rani Sari,P,15,98.0,92.0,60.0,86.0,72.0,100.0,1.0,4.0,3.0,4.0,Sains
32,Arman Setiawan,L,12,62.0,98.0,65.0,67.0,86.0,68.0,2.0,2.0,3.0,1.0,Teknologi
33,Dewi Lestari,P,14,96.0,92.0,68.0,74.0,91.0,91.0,2.0,5.0,2.0,2.0,Teknologi
34,Budi Santosa,L,12,83.0,100.0,71.0,98.0,61.0,62.0,1.0,4.0,1.5,3.0,Teknologi
35,Ayu Lestari,P,14,96.0,76.0,61.0,61.0,87.0,82.0,4.0,5.0,1.0,5.0,Sosial
